date,country,longitude,latitude,attendees
2020-06-09,Oman,55.923255000000005,21.512583,1
2020-06-09,Poland,19.145135999999997,51.919438,1
2020-06-09,Qatar,51.183884,25.354826,1
2020-06-09,Saudi Arabia,45.079162,23.885942,1092
2020-06-09,Sweden,18.643501,60.128161,1
2020-06-09,Turkey,35.243322,38.963745,1
2020-06-09,United Arab Emirates,53.847818000000004,23.424076,4
2020-06-09,United Kingdom,-3.435973,55.378051,3
2020-06-09,United States of America,-95.712891,37.09024,24
2020-06-09,Yemen,48.516388,15.552726999999999,1
2020-06-10,Algeria,1.6596259999999998,28.033886,1
2020-06-10,Egypt,30.802497999999996,26.820553000000004,2
2020-06-10,India,78.96288,20.593684,2
2020-06-10,Kuwait,47.481766,29.311659999999996,3
2020-06-10,Moldova,28.369884999999996,47.411631,1
2020-06-10,Netherlands,5.291266,52.132633,2
2020-06-10,Oman,55.923255000000005,21.512583,1
2020-06-10,Poland,19.145135999999997,51.919438,2
2020-06-10,Qatar,51.183884,25.354826,1
2020-06-10,Saudi Arabia,45.079162,23.885942,1039
2020-06-10,Sweden,18.643501,60.128161,1
2020-06-10,United Arab Emirates,53.847818000000004,23.424076,2
2020-06-10,United Kingdom,-3.435973,55.378051,3
2020-06-10,United States of America,-95.712891,37.09024,43
2020-06-11,Algeria,1.6596259999999998,28.033886,1
2020-06-11,Australia,133.775136,-25.274398,1
2020-06-11,Canada,-106.34677099999999,56.130366,1
2020-06-11,Egypt,30.802497999999996,26.820553000000004,3
2020-06-11,France,2.213749,46.227638,1
2020-06-11,India,78.96288,20.593684,1
2020-06-11,Kuwait,47.481766,29.311659999999996,2
2020-06-11,Malaysia,101.97576600000001,4.210483999999999,1
2020-06-11,Netherlands,5.291266,52.132633,1
2020-06-11,Oman,55.923255000000005,21.512583,2
2020-06-11,Poland,19.145135999999997,51.919438,1
2020-06-11,Qatar,51.183884,25.354826,1
2020-06-11,Saudi Arabia,45.079162,23.885942,1046
2020-06-11,United Arab Emirates,53.847818000000004,23.424076,1
2020-06-11,United Kingdom,-3.435973,55.378051,4
2020-06-11,United States of America,-95.712891,37.09024,27
2020-06-11,Yemen,48.516388,15.552726999999999,1
2020-06-14,Algeria,1.6596259999999998,28.033886,1
2020-06-14,Australia,133.775136,-25.274398,1
2020-06-14,Egypt,30.802497999999996,26.820553000000004,2
2020-06-14,Kuwait,47.481766,29.311659999999996,2
2020-06-14,Malaysia,101.97576600000001,4.210483999999999,1
2020-06-14,Netherlands,5.291266,52.132633,3
2020-06-14,Oman,55.923255000000005,21.512583,1
2020-06-14,Poland,19.145135999999997,51.919438,2
2020-06-14,Qatar,51.183884,25.354826,1
2020-06-14,Saudi Arabia,45.079162,23.885942,1046
2020-06-14,Singapore,103.819836,1.352083,1
2020-06-14,Switzerland,8.227511999999999,46.818188,1
2020-06-14,Turkey,35.243322,38.963745,1
2020-06-14,United Arab Emirates,53.847818000000004,23.424076,1
2020-06-14,United Kingdom,-3.435973,55.378051,3
2020-06-14,United States of America,-95.712891,37.09024,15
2020-06-15,Algeria,1.6596259999999998,28.033886,1
2020-06-15,Australia,133.775136,-25.274398,1
2020-06-15,Egypt,30.802497999999996,26.820553000000004,3
2020-06-15,France,2.213749,46.227638,2
2020-06-15,India,78.96288,20.593684,2
2020-06-15,Kuwait,47.481766,29.311659999999996,4
2020-06-15,Netherlands,5.291266,52.132633,1
2020-06-15,Oman,55.923255000000005,21.512583,1
2020-06-15,Poland,19.145135999999997,51.919438,3
2020-06-15,Qatar,51.183884,25.354826,1
2020-06-15,Saudi Arabia,45.079162,23.885942,1062
2020-06-15,Sweden,18.643501,60.128161,1
2020-06-15,Turkey,35.243322,38.963745,1
2020-06-15,United Arab Emirates,53.847818000000004,23.424076,3
2020-06-15,United Kingdom,-3.435973,55.378051,3
2020-06-15,United States of America,-95.712891,37.09024,25
2020-06-15,Yemen,48.516388,15.552726999999999,1
